code,description,severity,affected_system,symptoms,impact,recommendation
U1076,SCP (J1850) Invalid or Missing Data for Primary Id,Low,Network/Communication,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
U1077,SCP (J1850) Invalid or Missing Data for Primary Id,Low,Network/Communication,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
U1078,SCP (J1850) Invalid or Missing Data for Primary Id,Low,Network/Communication,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
U1079,SCP (J1850) Invalid or Missing Data for Primary Id,Low,Network/Communication,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
U1080,SCP (J1850) Invalid or Missing Data for Primary Id,Low,Network/Communication,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
U1081,SCP (J1850) Invalid or Missing Data for Primary Id,Low,Network/Communication,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
U1082,SCP (J1850) Invalid or Missing Data for Engine Systems Other,Low,Network/Communication,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
U1083,SCP (J1850) Invalid or Missing Data for Engine Systems Other,Low,Network/Communication,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
U1084,SCP (J1850) Invalid or Missing Data for Powertrain Status Request,Low,Network/Communication,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
U1085,SCP (J1850) Invalid or Missing Data for Powertrain Status Request,Low,Network/Communication,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
U1086,SCP (J1850) Invalid or Missing Data for Primary Id,Low,Network/Communication,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
U1087,SCP (J1850) Invalid or Missing Data for Primary Id,Low,Network/Communication,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
U1088,SCP (J1850) Invalid or Missing Data for Suspension,Low,Network/Communication,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
U1089,SCP (J1850) Invalid or Missing Data for Suspension,Low,Network/Communication,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
U1090,SCP (J1850) Invalid or Missing Data for Non-Legislated Diagnostics,Low,Network/Communication,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
U1091,SCP (J1850) Invalid or Missing Data for Non-Legislated Diagnostics,Low,Network/Communication,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
U1092,SCP (J1850) Invalid or Missing Data for Primary Id,Low,Network/Communication,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
U1093,SCP (J1850) Invalid or Missing Data for Primary Id,Low,Network/Communication,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
U1094,SCP (J1850) Invalid or Missing Data for Experimental #2,Low,Network/Communication,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
U1095,SCP (J1850) Invalid or Missing Data for Experimental #2,Low,Network/Communication,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
U1096,SCP (J1850) Invalid or Missing Data for Primary Id,Low,Network/Communication,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
U1097,SCP (J1850) Invalid or Missing Data for Primary Id,Low,Network/Communication,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
U1098,SCP (J1850) Invalid or Missing Data for Vehicle Speed Control,Low,Network/Communication,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
U1099,SCP (J1850) Invalid or Missing Data for Vehicle Speed Control,Low,Network/Communication,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
U1100,SCP (J1850) Invalid or Missing Data for Primary Id,Low,Network/Communication,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
U1101,SCP (J1850) Invalid or Missing Data for Primary Id,Low,Network/Communication,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
U1102,SCP (J1850) Invalid or Missing Data for Primary Id,Low,Network/Communication,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
U1103,SCP (J1850) Invalid or Missing Data for Primary Id,Low,Network/Communication,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
U1104,SCP (J1850) Invalid or Missing Data for Chassis Status Request,Low,Network/Communication,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
U1105,SCP (J1850) Invalid or Missing Data for Chassis Status Request,Low,Network/Communication,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
U1106,SCP (J1850) Invalid or Missing Data for Legislated Diagnostics,Low,Network/Communication,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
U1107,SCP (J1850) Invalid or Missing Data for Legislated Diagnostics,Low,Network/Communication,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
U1108,SCP (J1850) Invalid or Missing Data for Electric Traction Drive (Inverter),Low,Network/Communication,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
U1109,SCP (J1850) Invalid or Missing Data for Electric Traction Drive (Inverter),Low,Network/Communication,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
U1110,SCP (J1850) Invalid or Missing Data for Primary Id,Low,Network/Communication,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
U1111,SCP (J1850) Invalid or Missing Data for Primary Id,Low,Network/Communication,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
U1112,SCP (J1850) Invalid or Missing Data for Primary Id,Low,Network/Communication,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
U1113,SCP (J1850) Invalid or Missing Data for Primary Id,Low,Network/Communication,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
U1114,SCP (J1850) Invalid or Missing Data for Charging System,Low,Network/Communication,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
U1115,SCP (J1850) Invalid or Missing Data for Charging System,Low,Network/Communication,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
U1116,SCP (J1850) Invalid or Missing Data for Electrical Energy Management,Low,Network/Communication,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
U1117,SCP (J1850) Invalid or Missing Data for Electrical Energy Management,Low,Network/Communication,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
U1118,SCP (J1850) Invalid or Missing Data for Primary Id,Low,Network/Communication,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
U1119,SCP (J1850) Invalid or Missing Data for Primary Id,Low,Network/Communication,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
U1120,SCP (J1850) Invalid or Missing Data for Primary Id,Low,Network/Communication,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
U1121,SCP (J1850) Invalid or Missing Data for Primary Id,Low,Network/Communication,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
U1122,SCP (J1850) Invalid or Missing Data for Odometer,Low,Network/Communication,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
U1123,SCP (J1850) Invalid or Missing Data for Odometer,Low,Network/Communication,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
U1124,SCP (J1850) Invalid or Missing Data for Primary Id,Low,Network/Communication,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
U1125,SCP (J1850) Invalid or Missing Data for Primary Id,Low,Network/Communication,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
U1126,SCP (J1850) Invalid or Missing Data for Primary Id,Low,Network/Communication,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
U1127,SCP (J1850) Invalid or Missing Data for Primary Id,Low,Network/Communication,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
U1128,SCP (J1850) Invalid or Missing Data for Primary Id,Low,Network/Communication,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
U1129,SCP (J1850) Invalid or Missing Data for Primary Id,Low,Network/Communication,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
U1130,SCP (J1850) Invalid or Missing Data for Fuel System,Low,Network/Communication,"[""Poor fuel economy"", ""Rough idle""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
U1131,SCP (J1850) Invalid or Missing Data for Fuel System,Low,Network/Communication,"[""Poor fuel economy"", ""Rough idle""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
U1132,SCP (J1850) Invalid or Missing Data for Vehicle Motion,Low,Network/Communication,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
U1133,SCP (J1850) Invalid or Missing Data for Vehicle Motion,Low,Network/Communication,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
U1134,SCP (J1850) Invalid or Missing Data for Ignition Switch / Starter,Low,Network/Communication,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
U1135,SCP (J1850) Invalid or Missing Data for Ignition Switch / Starter,Low,Network/Communication,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
U1136,SCP (J1850) Invalid or Missing Data for Telltales,Low,Network/Communication,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
U1137,SCP (J1850) Invalid or Missing Data for Telltales,Low,Network/Communication,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
U1138,SCP (J1850) Invalid or Missing Data for Primary Id,Low,Network/Communication,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
U1139,SCP (J1850) Invalid or Missing Data for Primary Id,Low,Network/Communication,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
U1140,SCP (J1850) Invalid or Missing Data for Gateway,Low,Network/Communication,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
U1141,SCP (J1850) Invalid or Missing Data for Gateway,Low,Network/Communication,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
U1142,SCP (J1850) Invalid or Missing Data for Primary Id,Low,Network/Communication,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
U1143,SCP (J1850) Invalid or Missing Data for Primary Id,Low,Network/Communication,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
U1144,SCP (J1850) Invalid or Missing Data for Primary Id,Low,Network/Communication,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
U1145,SCP (J1850) Invalid or Missing Data for Primary Id,Low,Network/Communication,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
U1146,SCP (J1850) Invalid or Missing Data for Vehicle Security,Low,Network/Communication,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
U1147,SCP (J1850) Invalid or Missing Data for Vehicle Security,Low,Network/Communication,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
U1148,SCP (J1850) Invalid or Missing Data for Audio Control,Low,Network/Communication,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
U1149,SCP (J1850) Invalid or Missing Data for Audio Control,Low,Network/Communication,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
U1150,SCP (J1850) Invalid or Missing Data for Audible Warnings,Low,Network/Communication,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
U1151,SCP (J1850) Invalid or Missing Data for Audible Warnings,Low,Network/Communication,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
U1152,SCP (J1850) Invalid or Missing Data for Experimental #3,Low,Network/Communication,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
U1153,SCP (J1850) Invalid or Missing Data for Experimental #3,Low,Network/Communication,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
U1154,SCP (J1850) Invalid or Missing Data for Compact Disc,Low,Network/Communication,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
U1155,SCP (J1850) Invalid or Missing Data for Compact Disc,Low,Network/Communication,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
U1156,SCP (J1850) Invalid or Missing Data for Digital Signal Processing,Low,Network/Communication,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
U1157,SCP (J1850) Invalid or Missing Data for Digital Signal Processing,Low,Network/Communication,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
U1158,SCP (J1850) Invalid or Missing Data for Antenna,Low,Network/Communication,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
U1159,SCP (J1850) Invalid or Missing Data for Antenna,Low,Network/Communication,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
U1160,SCP (J1850) Invalid or Missing Data for Primary Id,Low,Network/Communication,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
U1161,SCP (J1850) Invalid or Missing Data for Primary Id,Low,Network/Communication,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
U1162,SCP (J1850) Invalid or Missing Data for Digital Audio Tape,Low,Network/Communication,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
U1163,SCP (J1850) Invalid or Missing Data for Digital Audio Tape,Low,Network/Communication,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
U1164,SCP (J1850) Invalid or Missing Data for Tuner / Receiver,Low,Network/Communication,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
U1165,SCP (J1850) Invalid or Missing Data for Tuner / Receiver,Low,Network/Communication,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
U1166,SCP (J1850) Invalid or Missing Data for Cassette Tape,Low,Network/Communication,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
U1167,SCP (J1850) Invalid or Missing Data for Cassette Tape,Low,Network/Communication,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
U1168,SCP (J1850) Invalid or Missing Data for Primary Id,Low,Network/Communication,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
U1169,SCP (J1850) Invalid or Missing Data for Primary Id,Low,Network/Communication,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
U1170,SCP (J1850) Invalid or Missing Data for Cellular Phone / Paging System,Low,Network/Communication,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
U1171,SCP (J1850) Invalid or Missing Data for Cellular Phone / Paging System,Low,Network/Communication,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
U1172,SCP (J1850) Invalid or Missing Data for Remote Button Control,Low,Network/Communication,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
U1173,SCP (J1850) Invalid or Missing Data for Remote Button Control,Low,Network/Communication,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
U1174,SCP (J1850) Invalid or Missing Data for Primary Id,Low,Network/Communication,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
U1175,SCP (J1850) Invalid or Missing Data for Primary Id,Low,Network/Communication,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
U1176,SCP (J1850) Invalid or Missing Data for Primary Id,Low,Network/Communication,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
U1177,SCP (J1850) Invalid or Missing Data for Primary Id,Low,Network/Communication,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
U1178,SCP (J1850) Invalid or Missing Data for Climate Control (HVAC),Low,Network/Communication,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
U1179,SCP (J1850) Invalid or Missing Data for Climate Control (HVAC),Low,Network/Communication,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
U1180,SCP (J1850) Invalid or Missing Data for Personalization (Memory) Features,Low,Network/Communication,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
U1181,SCP (J1850) Invalid or Missing Data for Personalization (Memory) Features,Low,Network/Communication,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
U1182,SCP (J1850) Invalid or Missing Data for Primary Id,Low,Network/Communication,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
U1183,SCP (J1850) Invalid or Missing Data for Primary Id,Low,Network/Communication,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
U1184,SCP (J1850) Invalid or Missing Data for Window Wiper / Washer,Low,Network/Communication,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
U1185,SCP (J1850) Invalid or Missing Data for Window Wiper / Washer,Low,Network/Communication,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
U1186,SCP (J1850) Invalid or Missing Data for Primary Id,Low,Network/Communication,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
U1187,SCP (J1850) Invalid or Missing Data for Primary Id,Low,Network/Communication,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
U1188,SCP (J1850) Invalid or Missing Data for Primary Id,Low,Network/Communication,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
U1189,SCP (J1850) Invalid or Missing Data for Primary Id,Low,Network/Communication,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
U1190,SCP (J1850) Invalid or Missing Data for Primary Id,Low,Network/Communication,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
U1191,SCP (J1850) Invalid or Missing Data for Primary Id,Low,Network/Communication,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
U1192,SCP (J1850) Invalid or Missing Data for Primary Id,Low,Network/Communication,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
U1193,SCP (J1850) Invalid or Missing Data for Primary Id,Low,Network/Communication,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
U1194,SCP (J1850) Invalid or Missing Data for Mirrors,Low,Network/Communication,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
U1195,SCP (J1850) Invalid or Missing Data for Mirrors,Low,Network/Communication,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
U1196,SCP (J1850) Invalid or Missing Data for Door Locks,Low,Network/Communication,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
U1197,SCP (J1850) Invalid or Missing Data for Door Locks,Low,Network/Communication,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
U1198,SCP (J1850) Invalid or Missing Data for External Access (Doors),Low,Network/Communication,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
U1199,SCP (J1850) Invalid or Missing Data for External Access (Doors),Low,Network/Communication,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
U1200,SCP (J1850) Invalid or Missing Data for Seat Motion / Control,Low,Network/Communication,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
U1201,SCP (J1850) Invalid or Missing Data for Seat Motion / Control,Low,Network/Communication,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
U1202,SCP (J1850) Invalid or Missing Data for Windows,Low,Network/Communication,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
U1203,SCP (J1850) Invalid or Missing Data for Windows,Low,Network/Communication,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
U1204,SCP (J1850) Invalid or Missing Data for Steering Column,Low,Network/Communication,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
U1205,SCP (J1850) Invalid or Missing Data for Steering Column,Low,Network/Communication,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
U1206,SCP (J1850) Invalid or Missing Data for Primary Id,Low,Network/Communication,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
U1207,SCP (J1850) Invalid or Missing Data for Primary Id,Low,Network/Communication,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
U1208,SCP (J1850) Invalid or Missing Data for Seat Switches,Low,Network/Communication,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
